小区名称,东八一广场商务区,五一路现代居住区,产业配套居住区,城东现在居住区,城北生态居住区,城北科技园,城北科技园服务区,城区机械工业园区,城南教育科研区,城南生态居住区,太行西街现代居住区,故县,新区起步区,湖东北部新区,湖西新区,火车站物流商贸区,火车站配套居住区,生态区居住区,老顶山开发区,西八一广场商务区 ,解放东路居住区,解放西路居住区,长兴路居住区,马厂,高等教育园区
东八一广场商务区,956.681831,83.770902,54.493179,159.888088,55.980363,52.881764000000004,62.335565,40.511703000000004,194.07264500000002,49.799086,207.885431,1.219144,67.316398,184.575497,41.092976,75.065678,47.671124999999996,125.75347,193.01663,296.693784,58.735558,125.651382,46.545638000000004,12.106557,228.862057
五一路现代居住区,241.67815499999998,390.595258,25.787033,62.4298,28.941848,55.606416,85.718661,33.864247999999996,105.832003,34.408622,268.052932,1.725206,155.7712,114.72207700000001,21.499924,171.36831999999998,144.034812,77.33935600000001,92.46503200000001,340.155965,34.952067,142.30569,23.768275,12.896500000000001,95.325492
产业配套居住区,340.00835500000005,59.179513,674.361107,114.862393,25.066971,40.185508999999996,42.564211,193.542075,332.140981,151.29523,134.433095,0.962635,53.675272,64.74541400000001,22.813271,91.732531,79.627378,468.67914599999995,113.22385899999999,245.902199,77.054066,205.22830199999999,38.185551,8.163962,117.44838499999999
城东现在居住区,260.82057299999997,41.839796,32.82500900000001,375.97805300000005,25.785372,29.082262,29.78883,39.340786,129.093018,23.529649999999997,115.50596300000001,0.6907190000000001,38.49517900000001,87.149792,23.940978,48.472782,36.521328999999994,67.457053,197.677241,134.846634,92.556134,80.39802399999999,27.355082,6.5856129999999995,128.701717
城北生态居住区,143.908644,34.44615,11.28023,39.233215,188.067326,66.051663,58.570005,17.359688,40.201692,15.17639,233.937469,1.465211,58.694105,185.745032,36.573384000000004,39.908316,26.897229,38.315913,73.108992,140.556016,14.823354,48.987227,42.692684,18.542498,110.327331
城北科技园,149.115536,54.262737,10.475864000000001,42.776156,104.78738799999999,155.194199,81.49703,20.820989,41.779591,15.988112000000001,273.70876799999996,2.337724,91.641115,213.11623199999997,23.044968,52.27396399999999,40.055434,39.175245,70.29669,161.542571,15.304251,61.18593899999999,23.76208,24.706307,94.518433
城北科技园服务区,219.656517,106.61944199999999,18.091074,54.01821,68.29804200000001,81.643014,412.237033,31.426907,73.30071799999999,24.016075,475.106922,2.532708,200.881826,215.101502,36.107645,85.30759800000001,80.553019,63.26789,113.404767,250.052609,23.724829999999997,93.79972099999999,38.997081,22.525532,148.85254999999998
城区机械工业园区,1.419331,0.665494,8.110655999999999,1.488793,0.267997,0.281775,0.469909,0.0,2.1018660000000002,1.790343,0.787329,0.039577,0.877921,5.326134000000001,0.623943,0.39090500000000006,0.413206,5.63176,5.718954,0.916113,4.573274,1.2961010000000002,0.254435,0.26385899999999995,0.593383
城南教育科研区,280.567987,55.348366,86.49728499999999,96.54879199999999,19.839152,31.02861,33.350591,44.423373999999995,512.28029,75.650476,99.388453,0.598214,37.649041999999994,68.807194,15.968782,67.986392,57.523104000000004,195.86161700000002,101.23537199999998,201.14494,81.090434,170.934516,27.55553,5.208525,86.26079899999999
城南生态居住区,157.76942599999998,36.18751399999999,83.90963,39.347609,13.982160999999998,26.823859000000002,26.133868,41.195933000000004,135.695903,289.173304,76.600368,0.564692,29.402231,44.307263999999996,11.286532000000001,48.942075,48.604185,167.896984,63.905232,154.988069,36.83858,231.054955,17.613235,4.725582,52.992367
