小区编号,小区名称,出行量
23,湖东北部新区,11178.837535
5,太行西街现代居住区,9388.585963
10,东八一广场商务区,9142.83398
9,西八一广场商务区 ,7865.357608
6,高等教育园区,5577.101581
21,新区起步区,5542.56695
22,老顶山开发区,5445.537257
15,城南教育科研区,4341.536864
14,解放西路居住区,4290.154535
18,生态区居住区,3874.4696000000004
25,马厂,3693.508207
11,城东现在居住区,3533.140452
24,湖西新区,3204.293674
4,城北科技园服务区,3050.618275
8,五一路现代居住区,2822.844819
12,火车站物流商贸区,2793.190669
1,城北科技园,2599.596727
13,火车站配套居住区,2440.6508479999998
26,故县,2130.82196
2,城北生态居住区,2073.987345
19,产业配套居住区,1927.922989
16,解放东路居住区,1901.5160159999998
17,城南生态居住区,1670.756038
20,城区机械工业园区,1667.9354240000002
3,长兴路居住区,1607.178773
